"relative_path","status","old_exists","clean_exists","old_full_path","clean_full_path","old_size","clean_size","old_modified_utc","clean_modified_utc","old_sha256","clean_sha256"
"AGENTS.md","same","True","True","R:\Thesis Project\KC_L v2 - Copy\AGENTS.md","R:\Thesis Project\KC_L v2 - Cleaner\AGENTS.md","1663","1663","2026-03-23T00:19:25.1211299Z","2026-03-23T00:19:25.1211299Z","A0ACA32710C32C3EA69DC948AE5D42ADB95BC39B3013D7F4532B9AC7AE04439B","A0ACA32710C32C3EA69DC948AE5D42ADB95BC39B3013D7F4532B9AC7AE04439B"
"CHANGELOG.md","changed","True","True","R:\Thesis Project\KC_L v2 - Copy\CHANGELOG.md","R:\Thesis Project\KC_L v2 - Cleaner\CHANGELOG.md","59916","63837","2026-04-01T17:44:53.1949891Z","2026-04-03T18:36:09.5326669Z","CA7500DF61D87445928B19D329E4820CEFAC8AFCB2EBEF4F69C072C05B9679FB","63E9B34BE266664B42CBB600A10B5E6ACEEB67619C280C060D6F38C6C9EFF6FB"
"configs/hpc/runtime_storage.template.yaml","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\configs\hpc\runtime_storage.template.yaml","","380","","2026-04-01T23:31:57.6124999Z","","B8EA6955BA2A293E6E8E7FC819D783071308F53720011366589CAB7C8FDFDD80"
"configs/hpc/slurm_textbook_first_run.template.sh","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\configs\hpc\slurm_textbook_first_run.template.sh","","751","","2026-04-01T23:31:57.6145043Z","","095093D8230B7E858BC3B77B573DC978709172C1A5B01F7E2B356580B51834DC"
"configs/pipeline/freeze.default.yaml","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\configs\pipeline\freeze.default.yaml","","303","","2026-04-01T23:31:57.6095019Z","","3232EA065A5F01D33E6A6EAE3977DFC1BCD1B58C1C463A79029C9B3550C32B2F"
"configs/pipeline/main_quest.base.yaml","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\configs\pipeline\main_quest.base.yaml","","3438","","2026-04-01T23:31:57.5971604Z","","F512D0430D97E9B65ED0E852FB3BE6847F217992A40F229E73DC8E47887F9A88"
"configs/pipeline/main_quest.hpc_gpu.example.yaml","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\configs\pipeline\main_quest.hpc_gpu.example.yaml","","686","","2026-04-03T18:36:09.5311535Z","","C35FAB45B3A669E52B00D4A22B6220B92957054EA1161625CB32FB09952F512D"
"configs/pipeline/main_quest.local_gpu.example.yaml","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\configs\pipeline\main_quest.local_gpu.example.yaml","","421","","2026-04-03T18:36:09.5279096Z","","EC6F1AD11FB420ACA22693E7CBD1F2BCF646D395A796E7AE6FEC711E75313FD4"
"configs/pipeline/review.default.yaml","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\configs\pipeline\review.default.yaml","","338","","2026-04-01T23:31:57.6056653Z","","F703E1ECAA020ADA8C46D82DA60B6078544217D7E76B6AA963488160385AA701"
"configs/schemas/default/core_schema.locked.json","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\configs\schemas\default\core_schema.locked.json","","2903","","2026-04-01T23:31:57.6174988Z","","D645F45800FAB667CDAA03BA648737AA60A7094DEDF2B38C4B5EAFBE66ED52C2"
"configs/schemas/examples/extension_schema.template.json","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\configs\schemas\examples\extension_schema.template.json","","928","","2026-04-01T23:31:57.6204975Z","","0287EFFE36644928D0CBA32ACCDEADD7376552BBED639C99966DD54692D37B84"
"configs/schemas/examples/extension_schema.textbook_example.json","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\configs\schemas\examples\extension_schema.textbook_example.json","","884","","2026-04-01T23:31:57.6245016Z","","916202B6DB38E906349736B2C05345AB30D6A3D863155EE12F7C52733854F8CC"
"CURRENT_ACTIVE_STATE.md","old_only","True","False","R:\Thesis Project\KC_L v2 - Copy\CURRENT_ACTIVE_STATE.md","","3382","","2026-04-01T17:16:56.2596793Z","","F083210AE83007C3980FD6602DE0678B34B0B8CCF4E6A01DBBC7556E06C2E1E5",""
"CURRENT_KNOWLEDGE_LIBRARY_PILOT_RELEASE.md","old_only","True","False","R:\Thesis Project\KC_L v2 - Copy\CURRENT_KNOWLEDGE_LIBRARY_PILOT_RELEASE.md","","2129","","2026-04-01T17:17:02.5622695Z","","F98BAAFE8EC4C44D5B09E2FE0E57B702E908D3783D6037D9BAF9B07236AB744A",""
"Current.md","old_only","True","False","R:\Thesis Project\KC_L v2 - Copy\Current.md","","9094","","2026-03-24T16:29:40.6743350Z","","036214F973983A2E2967E924FABB0D7EB0D4BFCA474A8CC18BA4931AB53147A2",""
"docs/architecture/operator_repo.md","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\docs\architecture\operator_repo.md","","1962","","2026-04-01T23:31:57.5877762Z","","57B4EF9E0B0EC8EECF6287BF16818E7A58FA60AC00A8C502F4BFC47933390132"
"docs/architecture/schema_model.md","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\docs\architecture\schema_model.md","","1592","","2026-04-01T23:31:57.5898131Z","","94613A2C739C496C299F28848FEE47781F9296750BDB0D5B6DC9DEA681075E19"
"docs/examples/minimal_hierarchy.template.yaml","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\docs\examples\minimal_hierarchy.template.yaml","","286","","2026-04-02T00:03:43.2382189Z","","4F97A995BF2E2F8D7B589145485D83C441BBF36F563355ABFA0B93399C173DD9"
"docs/knowledge_library_pilot.md","old_only","True","False","R:\Thesis Project\KC_L v2 - Copy\docs\knowledge_library_pilot.md","","4697","","2026-04-01T17:16:26.9425153Z","","396561BFA9D56AAF9E3F9FD204649BD58963D8D9C82905B767E16F65C8C0E0AA",""
"docs/supervisor_overview/operator_repo_overview.md","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\docs\supervisor_overview\operator_repo_overview.md","","562","","2026-04-01T23:31:57.5951507Z","","6C85992E4124B6088DDB8E1C90828076F954ED8C7E6E81619789CFAB9F1DEC3D"
"docs/workflows/hpc_first_run_preparation.md","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\docs\workflows\hpc_first_run_preparation.md","","1011","","2026-04-01T23:31:57.5930127Z","","CF956557394F4E23DC359CD8FAA13FF535BB757E91797FF283FDEF39F408472A"
"docs/workflows/offline_generation_lifecycle.md","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\docs\workflows\offline_generation_lifecycle.md","","1737","","2026-04-01T23:31:57.5908202Z","","9C43977EA474D13289BC65360A0BF5A3F36181FF2EDABB9AA56BB5749E4A5FE8"
"PROJECT_STATE/2026-03-19_STEP6_4_2_SIDEQUEST_PAUSE_CHECKPOINT.md","old_only","True","False","R:\Thesis Project\KC_L v2 - Copy\PROJECT_STATE\2026-03-19_STEP6_4_2_SIDEQUEST_PAUSE_CHECKPOINT.md","","7532","","2026-03-19T11:23:02.5143881Z","","5126A6ECE536CB09475ABF2E17122B53AF5303D91716C753CADA326E5D1C2B2A",""
"PROJECT_STATE/48_SLICE_SCALE_GATE.md","old_only","True","False","R:\Thesis Project\KC_L v2 - Copy\PROJECT_STATE\48_SLICE_SCALE_GATE.md","","1495","","2026-03-24T13:41:35.2942442Z","","DA41121EC687063EB2350EFEE53CFD055D5EA161739D7418D0CBFF8B88DE0A13",""
"PROJECT_STATE/CURRENT_GOAL.md","old_only","True","False","R:\Thesis Project\KC_L v2 - Copy\PROJECT_STATE\CURRENT_GOAL.md","","5199","","2026-03-19T20:08:53.7216394Z","","289CE161416C99C14A4CD00352D747B8E6701B0AEC1D40F172F85006EAF87AAF",""
"PROJECT_STATE/CURRENT_STATE.md","old_only","True","False","R:\Thesis Project\KC_L v2 - Copy\PROJECT_STATE\CURRENT_STATE.md","","8366","","2026-03-19T20:08:53.7186402Z","","01D0C5DB4DFD5379BC60E2BB7B8BE3878D1C7B4C2DFD586BBADEC2A03EC744C2",""
"PROJECT_STATE/KC_SEMANTIC_GATING_POLICY_FROM_SIDEQUEST.md","old_only","True","False","R:\Thesis Project\KC_L v2 - Copy\PROJECT_STATE\KC_SEMANTIC_GATING_POLICY_FROM_SIDEQUEST.md","","6871","","2026-03-19T11:43:45.0861884Z","","D18C5DEAB96A9E5A18EE6EC3EDE885591B1D995CCF813503C9441201B8CD9761",""
"PROJECT_STATE/LATEST_ACCEPTED_RUNS.md","old_only","True","False","R:\Thesis Project\KC_L v2 - Copy\PROJECT_STATE\LATEST_ACCEPTED_RUNS.md","","3482","","2026-03-19T11:24:06.6847722Z","","4B71588058313BF5234A49A1BCDD77178B29FC7B1621D0EC13AC26078D084B4C",""
"PROJECT_STATE/MAIN_QUEST_ENTRY_CONTRACT.md","old_only","True","False","R:\Thesis Project\KC_L v2 - Copy\PROJECT_STATE\MAIN_QUEST_ENTRY_CONTRACT.md","","9776","","2026-03-19T11:45:03.1926668Z","","929C332A56E32F55328CB465D199F7A8268448EA54A916C076480BCF7A5EA847",""
"PROJECT_STATE/MAIN_QUEST_EXECUTION_AUTHORIZATION.md","old_only","True","False","R:\Thesis Project\KC_L v2 - Copy\PROJECT_STATE\MAIN_QUEST_EXECUTION_AUTHORIZATION.md","","4829","","2026-03-19T20:08:53.6387228Z","","ECCAFE41DF058B3EDF94EE5E21AF2BE7E3D163D6138ED13C0A360034762AFE22",""
"PROJECT_STATE/MAIN_QUEST_PREFLIGHT_CHECKLIST.md","old_only","True","False","R:\Thesis Project\KC_L v2 - Copy\PROJECT_STATE\MAIN_QUEST_PREFLIGHT_CHECKLIST.md","","5509","","2026-03-19T21:21:38.9820980Z","","40419E8876A4F8D953452905EA2C550FE540B726A2196CBB5697935D1FE909BB",""
"PROJECT_STATE/MAIN_QUEST_PREFLIGHT_READINESS_REPORT.md","old_only","True","False","R:\Thesis Project\KC_L v2 - Copy\PROJECT_STATE\MAIN_QUEST_PREFLIGHT_READINESS_REPORT.md","","4513","","2026-03-19T21:21:07.6209710Z","","B055079929D8E02E1406F3AEC59FF48A66620B43455310177140E05AFDA8030E",""
"PROJECT_STATE/MAIN_QUEST_PREFLIGHT_RECIPE.md","old_only","True","False","R:\Thesis Project\KC_L v2 - Copy\PROJECT_STATE\MAIN_QUEST_PREFLIGHT_RECIPE.md","","4105","","2026-03-19T20:08:53.6706427Z","","5842A308C103A0D7846D6607B7C99E945329193683C48062852C77418801E219",""
"PROJECT_STATE/REPO_GROUNDED_MASTER_DOSSIER.md","old_only","True","False","R:\Thesis Project\KC_L v2 - Copy\PROJECT_STATE\REPO_GROUNDED_MASTER_DOSSIER.md","","27712","","2026-03-21T19:02:51.6695763Z","","1124DF3062BFE8B5F4F7CF7CE3CE68F34CEE477D5737FEFB0C5ADE4F835E9CB0",""
"PROJECT_STATE/SEMANTIC_NONNEGOTIABLES.md","old_only","True","False","R:\Thesis Project\KC_L v2 - Copy\PROJECT_STATE\SEMANTIC_NONNEGOTIABLES.md","","2167","","2026-03-07T22:53:07.6346977Z","","A532BA7599880D8D4C444C0D7EB358F5788459EC3F519D71D5D0514592B3BD47",""
"pyproject.toml","changed","True","True","R:\Thesis Project\KC_L v2 - Copy\pyproject.toml","R:\Thesis Project\KC_L v2 - Cleaner\pyproject.toml","619","762","2026-02-28T21:14:00.2186098Z","2026-04-02T15:35:00.7601834Z","778F43E1908591A06DAFE9518E913B031014BDE7E66967D430FB57B50413A63D","373F3E4484F9AF2C5BF4E4C508E099CA190F7EE16212AE17979B8DE093E8A62D"
"README.md","changed","True","True","R:\Thesis Project\KC_L v2 - Copy\README.md","R:\Thesis Project\KC_L v2 - Cleaner\README.md","3663","3334","2026-04-01T17:44:41.2410268Z","2026-04-01T23:30:11.8469788Z","4B508C77437B5843EE07682EFBFF4EA2D0AE21F63A588A99AB3C65EDED2745AC","B978EE2AFE441903FD9CCD6495C5E7ED6F65E8F1E58D05973F830DCAAC2DB3E7"
"requirements-dev.txt","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\requirements-dev.txt","","120","","2026-04-02T15:35:00.7591828Z","","4ADED08AFF2B16CC5F1D34FE1B7F92795A5A38E47435FB80C90A32976DBDF437"
"requirements-operator.txt","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\requirements-operator.txt","","206","","2026-04-02T15:35:00.7571708Z","","873051D8801C0ABF3364934751DB5F22F07640BBBEA079B9763AB1A6C3C42EA9"
"requirements-runtime-notorch.txt","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\requirements-runtime-notorch.txt","","868","","2026-04-03T17:01:16.9719063Z","","E42B154D66F9620156BAEED465FBBF759CBCA43F95A98E878CDAEF007B3BD695"
"requirements-runtime.txt","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\requirements-runtime.txt","","846","","2026-04-02T15:35:00.7581878Z","","D1790030EE347F9330983204C252121FC333E562CC5B83B008FF6EBE7A521651"
"requirements.txt","changed","True","True","R:\Thesis Project\KC_L v2 - Copy\requirements.txt","R:\Thesis Project\KC_L v2 - Cleaner\requirements.txt","56","114","2026-02-28T21:14:16.3193898Z","2026-04-02T15:35:00.7471838Z","7664B196FF513FF48553346F15F104D8DFB0CF0ADD6040F25884535E2D41E4B8","CD12C5E7D7CEC55F606FE968ACB2BE8A5A192153E8AC0F9FD2FBDB35550D2F0E"
"run_step6_7_model_draft_generation.py","old_only","True","False","R:\Thesis Project\KC_L v2 - Copy\run_step6_7_model_draft_generation.py","","12873","","2026-03-29T22:10:39.0390011Z","","E314193C6A4D025573774C462DCA8900599FDCF5588A8126B236E33243672096",""
"scripts/hpc/render_main_quest_config.py","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\scripts\hpc\render_main_quest_config.py","","1214","","2026-04-01T23:39:03.0288485Z","","DFACA5DD09F2C04DD3AEF50F2D7D7E28E07297AE035B46EBF4CC587F85C92DC2"
"scripts/local/run_stage.py","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\scripts\local\run_stage.py","","2466","","2026-04-01T23:39:03.0268516Z","","C3A6D960DAD83648E04FC9961914AE1C846B9481689FEC1F4D0C041FF49B6EF6"
"scripts/maintenance/check_operator_repo.py","clean_only","False","True","","R:\Thesis Project\KC_L v2 - Cleaner\scripts\maintenance\check_operator_repo.py","","1095","","2026-04-01T23:39:03.0303562Z","","9189FAE36094FCB79DD63D0FE029EBD8A9D3B0E2811E3607D4A69AC4EAF6428D"
"src/kc_l/__init__.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\__init__.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\__init__.py","0","0","2026-02-28T21:12:58.3734651Z","2026-02-28T21:12:58.3734651Z","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"src/kc_l/audit/__init__.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\audit\__init__.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\audit\__init__.py","0","0","2026-02-28T21:12:58.3754652Z","2026-02-28T21:12:58.3754652Z","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"src/kc_l/audit/logger.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\audit\logger.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\audit\logger.py","642","642","2026-02-28T21:14:57.6224318Z","2026-02-28T21:14:57.6224318Z","F0DD3D782175F68EF7D9C06D5DE43E05B9105B1D60C9394AF3975376C5FE7DB0","F0DD3D782175F68EF7D9C06D5DE43E05B9105B1D60C9394AF3975376C5FE7DB0"
"src/kc_l/audit/manifests.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\audit\manifests.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\audit\manifests.py","2106","2106","2026-03-19T12:01:56.9819415Z","2026-03-19T12:01:56.9819415Z","F7963FC8E19CD912DA53B435A59ACD328EEB3B98B17253E4DE3BC8833FE23A86","F7963FC8E19CD912DA53B435A59ACD328EEB3B98B17253E4DE3BC8833FE23A86"
"src/kc_l/audit/run_audit.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\audit\run_audit.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\audit\run_audit.py","2985","2985","2026-03-01T12:15:16.8569619Z","2026-03-01T12:15:16.8569619Z","DD272315CD45FDCAF0025B9CEE22B989915DADFEC9509D3FE559F53017C99F3E","DD272315CD45FDCAF0025B9CEE22B989915DADFEC9509D3FE559F53017C99F3E"
"src/kc_l/audit/run_context.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\audit\run_context.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\audit\run_context.py","2912","2912","2026-02-28T21:15:04.0087297Z","2026-02-28T21:15:04.0087297Z","6E18AF57E78A41F4113E66A04AABE12C16193FD76C6058ABF38EA70C518D0363","6E18AF57E78A41F4113E66A04AABE12C16193FD76C6058ABF38EA70C518D0363"
